Name,Email,Age,"Feeling nervous, anxious or on edge",Not being able to stop or control worrying,Worrying too much about different things,Trouble relaxing,Being so restless that it is hard to sit still,Becoming easily annoyed or irritable,Feeling afraid as if something awful might happen,Feeling tired or having little energy,Poor appetite or overeating,Feeling bad about yourself—or that you are a failure,Trouble concentrating on things,Moving or speaking so slowly that other people could have noticed,Thoughts that you would be better off dead or of hurting yourself in some way,Anxiety_Score,Stress_Score,Anxiety_Level,Stress_Level
James Klein,cameronjames@example.org,18,Several days,Not at all,More than half the days,Not at all,Several days,More than half the days,Not at all,Not at all,Nearly every day,Several days,Not at all,Not at all,Several days,6,6,Moderate,Moderate
Courtney Lopez,johnsonjason@example.com,18,Not at all,Not at all,More than half the days,Not at all,Nearly every day,Not at all,Several days,Not at all,Not at all,Several days,Nearly every day,More than half the days,Nearly every day,6,10,Moderate,Moderate
Amanda Robinson,gregory94@example.org,21,Not at all,Not at all,Nearly every day,Several days,Not at all,Nearly every day,Several days,Not at all,Not at all,Several days,Several days,Several days,Several days,8,10,Moderate,Moderate
Mary Green,robertduncan@example.com,20,More than half the days,Several days,Not at all,Not at all,Nearly every day,More than half the days,Several days,Not at all,Several days,Several days,Nearly every day,Not at all,Nearly every day,9,9,Moderate,Moderate
Anthony Norton,bortega@example.com,18,Several days,Not at all,More than half the days,Several days,Nearly every day,More than half the days,Not at all,Several days,Nearly every day,Not at all,More than half the days,Nearly every day,More than half the days,9,7,Moderate,Moderate
Steven Hoover,patelstephanie@example.com,18,More than half the days,Nearly every day,More than half the days,Not at all,Not at all,Not at all,Several days,More than half the days,Several days,Several days,Several days,Nearly every day,Nearly every day,8,6,Moderate,Moderate
Jordan Washington,larry78@example.org,20,Not at all,More than half the days,More than half the days,Not at all,More than half the days,Not at all,Several days,More than half the days,Nearly every day,Several days,More than half the days,Nearly every day,Not at all,7,10,Moderate,Moderate
Rachel Gray,reillyjasmine@example.com,20,Several days,Several days,More than half the days,Not at all,More than half the days,Several days,Not at all,Not at all,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,7,7,Moderate,Moderate
Lisa Sparks,sean36@example.org,18,Several days,More than half the days,Not at all,Several days,More than half the days,More than half the days,More than half the days,Not at all,Several days,Several days,More than half the days,Not at all,Several days,10,7,Moderate,Moderate
Mrs. Jennifer Johns,hparker@example.com,21,Nearly every day,Not at all,More than half the days,More than half the days,Not at all,Several days,Several days,Not at all,Several days,Several days,Several days,Not at all,Nearly every day,9,6,Moderate,Moderate
Kayla Sanders,jenniferwagner@example.net,17,More than half the days,Not at all,Several days,Nearly every day,More than half the days,Several days,Several days,Not at all,Not at all,More than half the days,Several days,More than half the days,More than half the days,10,10,Moderate,Moderate
Cesar Valdez,pdaniels@example.net,21,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,More than half the days,Not at all,Nearly every day,Not at all,Nearly every day,Several days,Several days,6,6,Moderate,Moderate
Kaitlin Richards,edward33@example.com,21,More than half the days,Not at all,More than half the days,Not at all,More than half the days,Several days,Several days,Not at all,Not at all,Nearly every day,Nearly every day,Not at all,Nearly every day,8,7,Moderate,Moderate
Adrian Ross,cartersamuel@example.net,17,Nearly every day,Several days,Not at all,Several days,Several days,Not at all,Nearly every day,Nearly every day,Not at all,More than half the days,Nearly every day,Not at all,Nearly every day,9,8,Moderate,Moderate
Christian Holt,qhowell@example.org,21,Nearly every day,More than half the days,Several days,Several days,Not at all,More than half the days,Not at all,More than half the days,More than half the days,Nearly every day,More than half the days,Several days,More than half the days,9,7,Moderate,Moderate
Holly Douglas,mfrederick@example.com,17,Not at all,More than half the days,More than half the days,Nearly every day,Not at all,Nearly every day,Not at all,More than half the days,Not at all,More than half the days,Several days,Several days,More than half the days,10,9,Moderate,Moderate
Marisa Buck,tina53@example.com,17,Nearly every day,Not at all,Not at all,Several days,Several days,Not at all,Nearly every day,More than half the days,Not at all,Several days,Not at all,Nearly every day,More than half the days,8,7,Moderate,Moderate
Megan Anderson,cheryl76@example.com,17,Not at all,Not at all,Nearly every day,Several days,Several days,Not at all,More than half the days,Nearly every day,Nearly every day,Several days,More than half the days,Not at all,More than half the days,7,6,Moderate,Moderate
Erik Richard,patricia71@example.org,17,Nearly every day,Not at all,Several days,More than half the days,Nearly every day,Several days,Not at all,Several days,More than half the days,Several days,Several days,Several days,Several days,10,6,Moderate,Moderate
Brian Dunn,dawn87@example.net,17,Nearly every day,Not at all,Several days,Not at all,Several days,Nearly every day,Not at all,More than half the days,Not at all,Several days,Several days,Not at all,Nearly every day,8,7,Moderate,Moderate
Kelsey Gonzales,hwalker@example.org,19,Not at all,Not at all,Nearly every day,Nearly every day,Not at all,Not at all,Several days,Nearly every day,Several days,Nearly every day,Nearly every day,Nearly every day,Several days,7,7,Moderate,Moderate
Caitlyn Kennedy,veronicacampbell@example.net,18,Nearly every day,Not at all,Several days,Nearly every day,Not at all,Not at all,Several days,Nearly every day,Nearly every day,More than half the days,Several days,Several days,More than half the days,8,8,Moderate,Moderate
Elizabeth Wilson,andersondale@example.com,21,More than half the days,More than half the days,Not at all,Nearly every day,Not at all,Not at all,Several days,Not at all,More than half the days,Nearly every day,More than half the days,Nearly every day,More than half the days,8,6,Moderate,Moderate
Jonathon Luna,molly91@example.net,20,More than half the days,Nearly every day,Several days,Nearly every day,Not at all,Several days,Not at all,Several days,Nearly every day,Not at all,Several days,More than half the days,More than half the days,10,7,Moderate,Moderate
Steven Pacheco,ccarpenter@example.com,21,Not at all,More than half the days,Nearly every day,Not at all,Several days,More than half the days,Not at all,Nearly every day,More than half the days,Not at all,Nearly every day,Not at all,Not at all,8,6,Moderate,Moderate
Jesse Coffey,haleykeller@example.net,19,Not at all,Nearly every day,Not at all,Several days,Nearly every day,Not at all,Nearly every day,More than half the days,Several days,Several days,Not at all,Nearly every day,More than half the days,10,7,Moderate,Moderate
David Richmond,operez@example.org,17,More than half the days,Several days,More than half the days,Not at all,Several days,Several days,Several days,More than half the days,Nearly every day,More than half the days,Nearly every day,Several days,Several days,8,9,Moderate,Moderate
Karen Gallegos,roberttaylor@example.net,18,More than half the days,Nearly every day,Several days,Nearly every day,Not at all,Several days,Not at all,Not at all,Several days,More than half the days,Not at all,Not at all,More than half the days,10,6,Moderate,Moderate
Janice Williams,danny32@example.org,20,More than half the days,Several days,Several days,Nearly every day,Not at all,Several days,Several days,More than half the days,Not at all,More than half the days,Not at all,Nearly every day,Not at all,9,7,Moderate,Moderate
Jessica Davis,smithtiffany@example.net,20,Not at all,Several days,Several days,More than half the days,Several days,More than half the days,Not at all,Nearly every day,Not at all,Several days,Nearly every day,More than half the days,Several days,7,6,Moderate,Moderate
David Gonzalez,christopher62@example.org,21,More than half the days,Not at all,Nearly every day,Several days,Several days,Several days,More than half the days,Nearly every day,More than half the days,Nearly every day,Not at all,Nearly every day,Not at all,10,10,Moderate,Moderate
John Watson,nancyevans@example.com,17,Several days,Several days,Several days,Not at all,Several days,Nearly every day,More than half the days,Not at all,Several days,Not at all,Nearly every day,More than half the days,Nearly every day,9,6,Moderate,Moderate
Calvin Vang,robert10@example.com,19,Nearly every day,Not at all,Several days,More than half the days,Several days,Not at all,More than half the days,More than half the days,Nearly every day,More than half the days,Several days,Several days,Several days,9,9,Moderate,Moderate
Gregory Thompson,dgarza@example.com,18,Several days,Several days,Nearly every day,Several days,Not at all,More than half the days,Not at all,Nearly every day,Nearly every day,Several days,Not at all,Several days,Several days,8,6,Moderate,Moderate
Lisa Hernandez,xbailey@example.com,18,Not at all,Several days,Not at all,More than half the days,Not at all,Not at all,Nearly every day,Nearly every day,Nearly every day,More than half the days,Not at all,More than half the days,Not at all,6,8,Moderate,Moderate
Cheryl White,heidi86@example.net,21,Nearly every day,More than half the days,More than half the days,Not at all,Not at all,Not at all,Not at all,More than half the days,Nearly every day,Nearly every day,Not at all,Not at all,Several days,7,10,Moderate,Moderate
Tanya King,leonardlori@example.com,21,Several days,Nearly every day,Not at all,Several days,More than half the days,Not at all,Not at all,Not at all,More than half the days,Several days,More than half the days,More than half the days,More than half the days,7,10,Moderate,Moderate
Wesley Carroll,stephaniehanson@example.net,17,Several days,Nearly every day,Not at all,Not at all,More than half the days,More than half the days,More than half the days,Nearly every day,Several days,More than half the days,More than half the days,More than half the days,Not at all,10,10,Moderate,Moderate
Sarah Stanley,alison86@example.net,19,Several days,Nearly every day,Not at all,Several days,Several days,More than half the days,Several days,Several days,Not at all,Not at all,Several days,More than half the days,Nearly every day,9,7,Moderate,Moderate
Brian Hernandez,jennifer61@example.net,20,More than half the days,Several days,Not at all,More than half the days,More than half the days,More than half the days,Several days,Several days,Several days,Several days,Not at all,Not at all,Nearly every day,10,7,Moderate,Moderate
Michael Webster,spencerstephanie@example.org,21,Several days,Not at all,Not at all,Not at all,Nearly every day,Not at all,Nearly every day,More than half the days,Nearly every day,More than half the days,More than half the days,Nearly every day,More than half the days,7,10,Moderate,Moderate
Joshua Gonzalez Jr.,huangjonathan@example.com,18,Not at all,Not at all,Nearly every day,Several days,Nearly every day,Not at all,Several days,Several days,More than half the days,Not at all,Several days,Nearly every day,Not at all,8,9,Moderate,Moderate
Taylor Osborne,kwatson@example.net,18,Nearly every day,Not at all,Several days,Not at all,More than half the days,More than half the days,Several days,Not at all,Not at all,More than half the days,More than half the days,Not at all,Several days,9,6,Moderate,Moderate
Donna Mahoney,cchang@example.net,21,Not at all,Several days,Nearly every day,Several days,Nearly every day,Not at all,Several days,More than half the days,More than half the days,More than half the days,Several days,Nearly every day,Several days,9,8,Moderate,Moderate
Daniel Rodriguez,saraday@example.net,20,Not at all,Not at all,Nearly every day,Not at all,Not at all,Nearly every day,Several days,Nearly every day,Nearly every day,Several days,More than half the days,Several days,More than half the days,7,9,Moderate,Moderate
Bruce Graham,rmiller@example.com,21,Not at all,Not at all,Several days,More than half the days,Several days,Not at all,More than half the days,Several days,Several days,Nearly every day,Several days,Nearly every day,Not at all,6,8,Moderate,Moderate
Eugene Garcia,johnnylopez@example.com,20,Several days,Nearly every day,Several days,Several days,Several days,Not at all,Several days,Several days,More than half the days,Nearly every day,Nearly every day,Not at all,Several days,8,6,Moderate,Moderate
Christopher Taylor,jholloway@example.net,20,Not at all,More than half the days,Several days,More than half the days,Not at all,Several days,Nearly every day,More than half the days,More than half the days,Several days,Not at all,More than half the days,Nearly every day,9,6,Moderate,Moderate
Cynthia Serrano,psnyder@example.com,20,More than half the days,Not at all,More than half the days,Not at all,Nearly every day,Not at all,Several days,Not at all,Several days,Nearly every day,More than half the days,Nearly every day,Several days,8,9,Moderate,Moderate
Isaiah Kennedy,jessewatson@example.com,21,Not at all,Not at all,Not at all,More than half the days,Nearly every day,Not at all,More than half the days,Several days,Not at all,Several days,More than half the days,More than half the days,Nearly every day,7,7,Moderate,Moderate
Oscar Francis,sshannon@example.org,18,More than half the days,More than half the days,Not at all,Several days,Several days,Not at all,More than half the days,More than half the days,Several days,More than half the days,More than half the days,Several days,More than half the days,8,6,Moderate,Moderate
Tara Mejia,rachelarroyo@example.net,19,Several days,Not at all,Nearly every day,Not at all,Several days,Several days,Nearly every day,More than half the days,Several days,Not at all,Not at all,More than half the days,Nearly every day,9,7,Moderate,Moderate
Rebecca Ward,shannon50@example.com,20,Not at all,Several days,Nearly every day,Not at all,More than half the days,Not at all,More than half the days,Nearly every day,Nearly every day,Several days,More than half the days,Several days,Nearly every day,8,8,Moderate,Moderate
Jessica Mcintosh,taylorramos@example.org,18,More than half the days,Several days,Nearly every day,Nearly every day,Not at all,Not at all,Not at all,More than half the days,Not at all,Not at all,Nearly every day,More than half the days,Not at all,9,9,Moderate,Moderate
Victoria Dunn,jason47@example.org,17,Several days,Several days,Not at all,Not at all,Several days,Nearly every day,Several days,Several days,Nearly every day,Nearly every day,Not at all,More than half the days,Nearly every day,7,6,Moderate,Moderate
Angela Schmidt,garciachristopher@example.org,20,Not at all,More than half the days,Not at all,Several days,Several days,More than half the days,Nearly every day,More than half the days,More than half the days,More than half the days,Not at all,More than half the days,Not at all,9,9,Moderate,Moderate
Ricky Blackwell,castillokelly@example.net,18,Several days,Not at all,Not at all,Nearly every day,Nearly every day,Not at all,Not at all,Several days,Not at all,More than half the days,Nearly every day,Several days,Nearly every day,7,7,Moderate,Moderate
Matthew Dominguez,allisondavis@example.com,19,More than half the days,Several days,Several days,Nearly every day,Not at all,Several days,Not at all,Nearly every day,Nearly every day,More than half the days,Not at all,More than half the days,Several days,8,8,Moderate,Moderate
Jennifer Phillips,andersonjames@example.com,21,Several days,Several days,More than half the days,Several days,Not at all,Not at all,More than half the days,Not at all,More than half the days,Nearly every day,Several days,Not at all,More than half the days,7,6,Moderate,Moderate
Adrienne Alexander,frocha@example.com,21,More than half the days,Not at all,Several days,More than half the days,Nearly every day,Not at all,More than half the days,Several days,More than half the days,More than half the days,Several days,Several days,Nearly every day,10,9,Moderate,Moderate
Melinda Johnson,moorerobin@example.org,21,Nearly every day,Not at all,Several days,Several days,More than half the days,Not at all,Several days,More than half the days,Several days,More than half the days,Nearly every day,Several days,Not at all,8,8,Moderate,Moderate
Mr. Adrian Carson,rachelayers@example.com,20,Several days,More than half the days,Not at all,More than half the days,Not at all,Nearly every day,Several days,Several days,Not at all,Several days,Not at all,More than half the days,More than half the days,9,6,Moderate,Moderate
Laurie Francis,bushgabriela@example.net,20,Nearly every day,Several days,More than half the days,Not at all,Several days,Not at all,Nearly every day,Not at all,More than half the days,More than half the days,Several days,More than half the days,Several days,10,9,Moderate,Moderate
Heather Krueger,ymartin@example.com,21,More than half the days,More than half the days,Not at all,Several days,Nearly every day,Several days,Not at all,Several days,Several days,Not at all,Not at all,Nearly every day,More than half the days,9,8,Moderate,Moderate
Joshua Martin,elizabethatkins@example.org,21,More than half the days,Several days,Several days,Several days,More than half the days,Nearly every day,Not at all,More than half the days,Several days,More than half the days,Several days,Several days,More than half the days,10,10,Moderate,Moderate
James Cuevas,richard87@example.com,19,More than half the days,Not at all,Not at all,Several days,Nearly every day,Several days,Not at all,Several days,Nearly every day,Not at all,Nearly every day,Several days,Nearly every day,7,9,Moderate,Moderate
Michael Adams,blairjeremy@example.org,20,Nearly every day,Not at all,Several days,Several days,Not at all,More than half the days,Nearly every day,Not at all,Nearly every day,Several days,Nearly every day,More than half the days,Several days,10,6,Moderate,Moderate
Sandra West,randallrodriguez@example.com,19,More than half the days,Several days,Several days,Not at all,Not at all,Nearly every day,Several days,Several days,Nearly every day,Several days,Nearly every day,Nearly every day,Nearly every day,8,10,Moderate,Moderate
Jodi Lewis,amy73@example.org,20,More than half the days,Not at all,Not at all,Not at all,More than half the days,Several days,Several days,Several days,Several days,Not at all,Nearly every day,Several days,Nearly every day,6,6,Moderate,Moderate
Kevin White,riveramartin@example.org,21,More than half the days,Not at all,Several days,Nearly every day,Not at all,More than half the days,Not at all,More than half the days,More than half the days,More than half the days,Nearly every day,More than half the days,Not at all,8,6,Moderate,Moderate
David Bullock,johnsonterri@example.org,18,Nearly every day,Not at all,Nearly every day,Not at all,More than half the days,Not at all,Several days,Not at all,Nearly every day,Not at all,Several days,Several days,More than half the days,9,9,Moderate,Moderate
Janet Price,jroth@example.com,17,Not at all,Nearly every day,More than half the days,Several days,More than half the days,Not at all,More than half the days,Several days,Several days,Not at all,More than half the days,Not at all,Not at all,10,8,Moderate,Moderate
Christopher Lowe,danabrown@example.com,20,Several days,More than half the days,Several days,Nearly every day,Not at all,Not at all,Not at all,Several days,Nearly every day,Nearly every day,Not at all,Nearly every day,More than half the days,7,10,Moderate,Moderate
William Baldwin,carpenterlorraine@example.com,20,Not at all,Not at all,Nearly every day,Not at all,Several days,Nearly every day,Not at all,More than half the days,Nearly every day,Several days,Nearly every day,Several days,Not at all,7,10,Moderate,Moderate
Kevin Hernandez,kathy59@example.com,20,Not at all,Nearly every day,Several days,Not at all,Not at all,Not at all,More than half the days,Several days,Nearly every day,Not at all,Several days,Not at all,More than half the days,6,7,Moderate,Moderate
Robert Barnes,qbarr@example.org,21,Several days,Several days,More than half the days,Not at all,Nearly every day,Not at all,More than half the days,Several days,Not at all,Not at all,Several days,More than half the days,Several days,9,8,Moderate,Moderate
April Fisher,pollardkevin@example.com,19,Nearly every day,Not at all,Not at all,Nearly every day,Not at all,Nearly every day,Not at all,More than half the days,Nearly every day,Several days,Nearly every day,More than half the days,Nearly every day,9,9,Moderate,Moderate
Angela Taylor,usnyder@example.com,20,Several days,Several days,Not at all,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,Nearly every day,More than half the days,Several days,Several days,More than half the days,10,6,Moderate,Moderate
George Walton,xwilliams@example.net,20,More than half the days,Not at all,Several days,Several days,Not at all,Several days,Nearly every day,Not at all,Several days,Several days,Not at all,Not at all,Not at all,8,8,Moderate,Moderate
Michael Robinson,travisthomas@example.net,21,Nearly every day,Several days,Several days,Nearly every day,Not at all,Several days,Several days,More than half the days,Not at all,Several days,Not at all,Not at all,Several days,10,7,Moderate,Moderate
Justin Weaver,ofrazier@example.net,17,Several days,Nearly every day,More than half the days,Several days,Several days,More than half the days,Not at all,More than half the days,More than half the days,Nearly every day,Several days,Nearly every day,Nearly every day,10,6,Moderate,Moderate
Cathy Lamb,carpentererin@example.com,17,More than half the days,Not at all,More than half the days,More than half the days,Several days,Nearly every day,Not at all,Nearly every day,Nearly every day,More than half the days,Not at all,Not at all,Several days,10,10,Moderate,Moderate
Ian Wells,david03@example.org,17,Not at all,Several days,More than half the days,Not at all,Not at all,Nearly every day,Nearly every day,Not at all,More than half the days,Not at all,Not at all,Several days,More than half the days,9,7,Moderate,Moderate
Jeffrey Aguilar,jesse76@example.com,17,Nearly every day,Nearly every day,Not at all,Not at all,Not at all,Nearly every day,Several days,Several days,Nearly every day,Not at all,Not at all,Nearly every day,Nearly every day,10,6,Moderate,Moderate
Brittany Campos,teresa61@example.com,19,Several days,Several days,Not at all,Not at all,Several days,Not at all,Nearly every day,Several days,Nearly every day,Several days,More than half the days,Nearly every day,Several days,6,7,Moderate,Moderate
Holly King,katrinahooper@example.com,19,Not at all,Not at all,Several days,Not at all,More than half the days,More than half the days,Several days,Nearly every day,Several days,More than half the days,Not at all,Nearly every day,More than half the days,6,6,Moderate,Moderate
William Kelley,heather24@example.net,19,Not at all,Not at all,Not at all,Several days,Nearly every day,Not at all,More than half the days,Nearly every day,Nearly every day,More than half the days,Several days,Several days,Not at all,6,9,Moderate,Moderate
Lynn Smith,duffyjennifer@example.net,17,Not at all,Several days,Several days,Nearly every day,Nearly every day,Several days,Several days,Not at all,Nearly every day,Not at all,Not at all,More than half the days,Nearly every day,10,10,Moderate,Moderate
John Parks,angela47@example.com,21,Several days,Several days,Nearly every day,Several days,Not at all,Not at all,Not at all,More than half the days,More than half the days,Nearly every day,Several days,Not at all,Not at all,6,7,Moderate,Moderate
Willie Lewis,jennifergardner@example.com,21,Nearly every day,Not at all,Nearly every day,Not at all,Not at all,Several days,Several days,Several days,Nearly every day,Several days,Several days,Several days,Several days,8,6,Moderate,Moderate
Billy Rodriguez,ematthews@example.com,17,Not at all,More than half the days,Nearly every day,Several days,Several days,Not at all,Not at all,More than half the days,More than half the days,Nearly every day,Not at all,Several days,Nearly every day,7,6,Moderate,Moderate
Tanya Lopez,julie52@example.org,18,Not at all,Several days,Not at all,More than half the days,More than half the days,More than half the days,Not at all,More than half the days,Nearly every day,Several days,Several days,Not at all,Nearly every day,7,7,Moderate,Moderate
Vicki Bailey,matthewwest@example.net,20,Nearly every day,More than half the days,Not at all,More than half the days,Not at all,Not at all,More than half the days,More than half the days,More than half the days,More than half the days,Not at all,Nearly every day,Several days,9,7,Moderate,Moderate
Matthew Webster,pacelindsey@example.com,19,Several days,Nearly every day,More than half the days,Not at all,Not at all,Not at all,More than half the days,More than half the days,Not at all,Several days,More than half the days,Several days,Nearly every day,8,6,Moderate,Moderate
Omar Meyer,utaylor@example.com,18,More than half the days,Several days,Not at all,Several days,Several days,Not at all,Several days,More than half the days,Nearly every day,Not at all,More than half the days,More than half the days,Not at all,6,8,Moderate,Moderate
Krystal Fisher,hansonkimberly@example.com,19,More than half the days,More than half the days,Nearly every day,Not at all,Several days,More than half the days,Not at all,Several days,More than half the days,Not at all,More than half the days,More than half the days,Several days,10,9,Moderate,Moderate
Erik Black,wburke@example.net,17,Not at all,More than half the days,Several days,Not at all,Not at all,Several days,Nearly every day,More than half the days,Several days,Nearly every day,More than half the days,Not at all,More than half the days,7,9,Moderate,Moderate
Matthew Jones,johnsonsamantha@example.org,21,Nearly every day,Not at all,More than half the days,Several days,Not at all,Several days,Not at all,Several days,Nearly every day,Several days,Not at all,Several days,Not at all,7,10,Moderate,Moderate
Mike Smith,cjackson@example.com,20,Nearly every day,Several days,Nearly every day,Not at all,Not at all,More than half the days,Several days,Not at all,Several days,Nearly every day,Nearly every day,Several days,More than half the days,10,8,Moderate,Moderate
Abigail Walker,ajones@example.com,18,More than half the days,More than half the days,Several days,More than half the days,Not at all,Several days,Several days,Not at all,Several days,Several days,Not at all,Nearly every day,Not at all,9,9,Moderate,Moderate
Tracy White,shannon06@example.org,17,Nearly every day,Several days,Not at all,More than half the days,Not at all,More than half the days,Not at all,Several days,Not at all,More than half the days,Not at all,Not at all,Nearly every day,8,6,Moderate,Moderate
Desiree Woodward,richardvaldez@example.net,17,Nearly every day,Not at all,Not at all,Several days,Several days,More than half the days,Not at all,Several days,Nearly every day,More than half the days,Nearly every day,Not at all,Several days,7,8,Moderate,Moderate
Amanda Fowler,villarrealraymond@example.com,17,Not at all,More than half the days,Not at all,More than half the days,Nearly every day,Not at all,Not at all,Not at all,Several days,Nearly every day,Several days,Not at all,Nearly every day,7,6,Moderate,Moderate
Mathew Schaefer,malonevalerie@example.com,21,Nearly every day,Several days,More than half the days,Several days,Not at all,Several days,Several days,Several days,More than half the days,Several days,More than half the days,Nearly every day,Not at all,9,9,Moderate,Moderate
John Green,mejiaanthony@example.net,21,Not at all,More than half the days,More than half the days,Not at all,More than half the days,Nearly every day,Several days,More than half the days,More than half the days,Nearly every day,Not at all,More than half the days,Not at all,10,8,Moderate,Moderate
Jennifer Wilson,nolanmadison@example.net,17,Not at all,Several days,More than half the days,More than half the days,Not at all,Nearly every day,Not at all,Several days,Nearly every day,More than half the days,Nearly every day,Several days,More than half the days,8,7,Moderate,Moderate
Trevor Craig,jking@example.net,17,Several days,Not at all,More than half the days,Not at all,Several days,More than half the days,Not at all,More than half the days,More than half the days,Several days,Nearly every day,Several days,Nearly every day,6,6,Moderate,Moderate
Austin Holt,harrisonjoshua@example.net,18,Not at all,More than half the days,More than half the days,More than half the days,More than half the days,Several days,Several days,Nearly every day,More than half the days,Several days,More than half the days,Not at all,Several days,10,6,Moderate,Moderate
Troy Barnett,brandonking@example.net,21,Several days,Several days,More than half the days,Several days,Several days,Nearly every day,Several days,Several days,Not at all,More than half the days,More than half the days,Nearly every day,Nearly every day,10,10,Moderate,Moderate
Tyrone Mcbride,rodriguezjoshua@example.net,19,Nearly every day,Not at all,Not at all,Several days,Not at all,More than half the days,Not at all,Nearly every day,Several days,Several days,Several days,More than half the days,Not at all,6,9,Moderate,Moderate
Gabrielle Carter,dcastro@example.com,17,Not at all,More than half the days,Several days,Not at all,Not at all,More than half the days,More than half the days,Not at all,Nearly every day,Not at all,Nearly every day,Nearly every day,Nearly every day,7,8,Moderate,Moderate
Caitlin Gutierrez,osmith@example.com,20,Not at all,Not at all,Several days,Not at all,More than half the days,Several days,More than half the days,More than half the days,Not at all,Several days,Several days,Several days,Not at all,6,8,Moderate,Moderate
Emily Simpson,uking@example.net,18,More than half the days,Not at all,Not at all,Several days,Several days,Not at all,Nearly every day,Not at all,Nearly every day,Several days,Nearly every day,Nearly every day,Several days,7,9,Moderate,Moderate
Lori Martin,howard65@example.net,18,More than half the days,Several days,Nearly every day,Several days,Nearly every day,Not at all,Not at all,Nearly every day,Nearly every day,Several days,More than half the days,Several days,Several days,10,6,Moderate,Moderate
Heather Wade,ycurtis@example.com,21,Not at all,Several days,Not at all,Not at all,More than half the days,Several days,Nearly every day,Not at all,More than half the days,Several days,Nearly every day,More than half the days,Nearly every day,7,10,Moderate,Moderate
Kurt Dougherty,phamlisa@example.org,21,Not at all,Several days,Nearly every day,Several days,Several days,More than half the days,Several days,Several days,Not at all,More than half the days,Nearly every day,Not at all,Nearly every day,9,6,Moderate,Moderate
Philip Alvarado,javierjohnson@example.org,17,Several days,Not at all,Nearly every day,Several days,More than half the days,Not at all,Nearly every day,More than half the days,Not at all,Several days,Nearly every day,Not at all,Not at all,10,7,Moderate,Moderate
April Davis,ryan21@example.net,17,Not at all,Several days,Several days,Not at all,Nearly every day,Several days,Several days,Nearly every day,Several days,Several days,Not at all,Nearly every day,Several days,7,10,Moderate,Moderate
William Arnold,eric57@example.net,19,More than half the days,Several days,Several days,Several days,More than half the days,Several days,More than half the days,More than half the days,Nearly every day,Nearly every day,Nearly every day,Several days,Several days,10,6,Moderate,Moderate
Brett Murphy,carrie17@example.com,21,Not at all,Nearly every day,Not at all,Not at all,More than half the days,Nearly every day,Not at all,More than half the days,More than half the days,Not at all,Not at all,More than half the days,Nearly every day,8,9,Moderate,Moderate
Paul Briggs,paulalvarado@example.com,17,Not at all,More than half the days,More than half the days,Several days,Not at all,Not at all,Nearly every day,Several days,Several days,More than half the days,Several days,Several days,More than half the days,8,7,Moderate,Moderate
Jesse Brewer,sara79@example.net,21,Several days,Not at all,More than half the days,Nearly every day,More than half the days,Not at all,Not at all,More than half the days,Not at all,Nearly every day,Not at all,Nearly every day,More than half the days,8,9,Moderate,Moderate
Tom Santiago DDS,lwhite@example.com,21,More than half the days,Several days,Not at all,More than half the days,More than half the days,More than half the days,Not at all,More than half the days,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,9,9,Moderate,Moderate
Tracy Romero,vasquezkristin@example.com,17,Not at all,Not at all,Several days,More than half the days,More than half the days,More than half the days,Several days,Nearly every day,Several days,Several days,Several days,More than half the days,Several days,8,7,Moderate,Moderate
Michael Moore,aboyd@example.net,19,Not at all,Not at all,More than half the days,Several days,More than half the days,Nearly every day,Several days,More than half the days,Nearly every day,Nearly every day,More than half the days,Nearly every day,Not at all,9,10,Moderate,Moderate
Jenna Lamb MD,robert43@example.net,17,Several days,Several days,Not at all,Several days,Not at all,Nearly every day,Several days,Nearly every day,Not at all,Nearly every day,Not at all,Not at all,Not at all,7,10,Moderate,Moderate
Dalton Lang,johnsonshirley@example.com,21,Several days,Several days,Not at all,Several days,Several days,Not at all,More than half the days,More than half the days,Nearly every day,Not at all,Several days,Several days,Nearly every day,6,10,Moderate,Moderate
Robert Baker,ingramryan@example.org,20,Not at all,Not at all,Nearly every day,Several days,More than half the days,Nearly every day,Not at all,Nearly every day,Several days,More than half the days,More than half the days,More than half the days,Nearly every day,9,10,Moderate,Moderate
Melissa Bishop MD,tiffany94@example.org,21,Nearly every day,Several days,Not at all,Several days,Not at all,Nearly every day,Not at all,Nearly every day,Several days,Not at all,Several days,Not at all,Nearly every day,8,7,Moderate,Moderate
Daniel Long,brent80@example.com,17,Not at all,Not at all,More than half the days,Nearly every day,Several days,Several days,Not at all,Nearly every day,Not at all,Not at all,Not at all,Nearly every day,Not at all,7,7,Moderate,Moderate
Cynthia Gross,ijones@example.net,21,Nearly every day,Not at all,More than half the days,Not at all,More than half the days,Several days,More than half the days,Nearly every day,Not at all,Nearly every day,Not at all,Not at all,Not at all,10,9,Moderate,Moderate
Christina Mills,tjohnson@example.com,18,More than half the days,Several days,Nearly every day,Not at all,Not at all,More than half the days,Several days,Not at all,Nearly every day,Not at all,Not at all,Not at all,Several days,9,10,Moderate,Moderate
